

   Body Parts Status Report    

Name      Description    Points    Status
----      -----------    ------    ------
Leg       Right front leg     3         Bad  
Leg       Left front leg      10        Excellent
Leg       Right back leg      10        Excellent
Leg       Left back Leg       10        Excellent
Brain     The Brain           10        Excellent
Heart     The Heart           10        Excellent
Wing      Right wing          10        Excellent
Wing      Left wing           10        Excellent
Tail      The Tail            10        Excellent
Body      The Body            10        Excellent
